,FREQUENCY,GAMMA
5695,22427.125,1.46643e-07
5696,22427.2,1.255064e-07
5697,22427.275,1.219384e-07
5698,22427.35,1.490392e-07
5699,22427.425,7.732011e-08
5700,22427.5,1.060566e-07
5701,22427.575,1.254526e-07
5702,22427.65,1.660508e-07
5703,22427.725,1.499946e-07
5704,22427.8,1.179334e-07
5705,22427.875,1.529266e-07
5706,22427.95,1.546697e-07
5707,22428.025,1.57524e-07
5708,22428.1,1.237534e-07
5709,22428.175,1.461378e-07
5710,22428.25,1.303028e-07
5711,22428.325,1.378307e-07
5712,22428.4,1.162269e-07
5713,22428.475,1.755282e-07
5714,22428.55,1.628426e-07
5715,22428.625,1.41201e-07
5716,22428.7,1.640237e-07
5717,22428.775,1.781395e-07
5718,22428.85,1.589665e-07
5719,22428.925,1.645548e-07
5720,22429.0,9.624159e-08
5721,22429.075,1.224388e-07
5722,22429.15,1.557636e-07
5723,22429.225,1.498179e-07
5724,22429.3,1.41761e-07
5725,22429.375,1.731219e-07
5726,22429.45,1.587057e-07
5727,22429.525,1.732463e-07
5728,22429.6,2.084394e-07
5729,22429.675,1.780959e-07
5730,22429.75,2.262282e-07
5731,22429.825,1.463191e-07
5732,22429.9,1.973391e-07
5733,22429.975,1.890729e-07
5734,22430.05,1.735645e-07
