,FREQUENCY,GAMMA
28239,24117.925,4.324885e-08
28240,24118.0,3.724378e-08
28241,24118.075,4.797325e-08
28242,24118.15,2.349738e-08
28243,24118.225,2.358026e-08
28244,24118.3,1.140561e-08
28245,24118.375,1.304573e-08
28246,24118.45,-3.999234e-08
28247,24118.525,1.060251e-08
28248,24118.6,3.581197e-08
28249,24118.675,-1.447608e-08
28250,24118.75,-3.198752e-08
28251,24118.825,-2.104661e-08
28252,24118.9,-1.138291e-08
28253,24118.975,6.945988e-09
28254,24119.05,5.492982e-08
28255,24119.125,6.594891e-08
28256,24119.2,1.099842e-07
28257,24119.275,1.795566e-07
28258,24119.35,2.091064e-07
28259,24119.425,2.432001e-07
28260,24119.5,2.40758e-07
28261,24119.575,2.21461e-07
28262,24119.65,1.908238e-07
28263,24119.725,1.213706e-07
28264,24119.8,8.845583e-08
28265,24119.875,2.224023e-09
28266,24119.95,-2.33282e-08
28267,24120.025,-1.993377e-08
28268,24120.1,-4.301725e-08
28269,24120.175,-4.658968e-08
28270,24120.25,1.111519e-08
28271,24120.325,-4.977855e-08
28272,24120.4,-1.349508e-08
28273,24120.475,-5.366315e-09
28274,24120.55,1.243662e-08
28275,24120.625,2.061942e-08
28276,24120.7,1.208009e-09
28277,24120.775,9.156073e-10
28278,24120.85,2.062649e-08
